Heure;T_ext;Q_base;EURMWH_SPOT;EURKWH_variable;Tst;Tcond;Cond_prod;S_stock;m_pac_ch;m_dis;m_ww;Quse;Qdis;Qch;Qww;Qpin;P_base;P_chrg;P_ww;P_pin;Elec_tot;Conso;Elec_base;Conso_base;NegaWatts;Gain_spot;Cost_hour
0;0.70;60.00;119.79;0.25;47.70;53.60;47.88;189.66;1;0;0;52.20;7.80;0.00;0;0;35.53;17.14;0;0;52.67;13.04;35.53;9.17;0.00;0.00;13.31
1;0.61;70.00;119.95;0.25;43.00;55.30;48.02;162.40;1;0;0;70.00;0.00;0.00;0;0;31.82;30.76;0;0;62.58;15.50;31.82;8.25;0.00;0.00;15.77
2;0.36;70.00;117.34;0.24;50.90;60.00;48.42;208.22;1;0;0;68.60;1.40;0.00;0;0;35.92;28.50;0;0;64.42;15.75;35.92;8.91;0.00;0.00;16.02
3;0.35;60.00;117.83;0.25;55.70;62.20;48.44;236.06;1;0;0;52.80;7.20;0.00;0;0;33.17;33.58;0;0;66.75;16.36;33.17;8.58;0.00;0.00;16.63
4;0.03;70.00;120.25;0.25;58.00;54.70;48.95;249.40;0;0;0;70.00;0.00;0.00;0;0;33.02;0.00;0;0;44.00;10.91;33.02;8.55;0.00;0.00;11.18
5;-0.36;70.00;136.56;0.27;58.00;55.30;49.58;249.40;0;0;0;70.00;0.00;0.00;0;0;36.22;0.00;0;0;46.25;12.38;36.22;10.07;0.00;0.00;12.65
6;-0.27;60.00;172.31;0.35;58.50;55.30;49.43;252.30;0;1;0;12.00;48.00;0.00;0;0;33.35;0.00;0;0;12.33;4.29;33.35;11.96;21.02;7.36;4.56
7;-0.21;70.00;176.02;0.35;51.30;55.00;49.34;210.54;0;1;0;52.50;17.50;0.00;0;0;32.35;0.00;0;0;50.25;17.70;32.35;11.61;-17.90;-6.26;17.97
8;-0.14;70.00;148.40;0.32;47.30;55.20;49.22;187.34;0;0;0;70.00;0.00;0.00;0;0;32.05;0.00;0;0;46.75;14.92;32.05;10.55;0.00;0.00;15.19
9;0.95;60.00;115.88;0.28;44.30;54.50;47.48;169.94;1;0;0;58.20;1.80;0.00;0;0;25.83;22.84;0;0;48.67;13.63;25.83;7.52;0.00;0.00;13.90
10;2.54;60.00;90.68;0.25;49.80;54.50;44.94;201.84;0;1;0;55.20;4.80;0.00;0;0;23.07;0.00;0;0;34.58;8.64;23.07;6.06;-11.51;-2.88;8.91
11;3.26;50.00;77.45;0.23;49.80;50.60;43.78;201.84;0;0;0;48.50;1.50;0.00;0;0;19.78;0.00;0;0;29.33;6.86;19.78;4.84;0.00;0.00;7.13
12;4.37;50.00;67.29;0.22;48.00;49.10;42.01;191.40;0;0;0;50.00;0.00;0.00;0;0;19.86;0.00;0;0;26.50;5.88;19.86;4.66;0.00;0.00;6.15
13;5.01;40.00;50.99;0.20;48.00;46.00;40.98;191.40;0;0;0;40.00;0.00;0.00;0;0;15.70;0.00;0;0;22.00;4.45;15.70;3.43;0.00;0.00;4.72
14;5.44;40.00;55.21;0.21;48.00;45.10;40.30;191.40;0;0;0;40.00;0.00;0.00;0;0;15.42;0.00;0;0;18.50;3.84;15.42;3.53;0.00;0.00;4.11
15;5.57;50.00;92.29;0.25;48.00;43.60;40.09;191.40;0;0;0;44.00;6.00;0.00;0;0;19.45;0.00;0;0;21.00;5.29;19.45;5.15;0.00;0.00;5.56
16;5.48;40.00;102.64;0.26;47.70;43.70;40.23;189.66;0;0;0;34.80;5.20;0.00;0;0;19.82;0.00;0;0;20.50;5.42;19.82;5.44;0.00;0.00;5.69
17;4.72;50.00;93.16;0.25;45.80;46.00;41.45;178.64;0;0;0;38.50;11.50;0.00;0;0;20.19;0.00;0;0;23.75;6.00;20.19;5.34;0.00;0.00;6.27
18;4.16;40.00;137.80;0.31;39.90;48.60;42.34;144.42;0;0;0;37.20;2.80;0.00;0;0;22.46;0.00;0;0;25.42;7.79;22.46;7.25;0.00;0.00;8.06
19;3.11;60.00;166.39;0.34;38.80;50.20;44.02;138.04;0;0;0;51.00;9.00;0.00;0;0;27.50;0.00;0;0;44.08;15.02;27.50;9.64;0.00;0.00;15.29
20;2.54;60.00;140.99;0.31;37.80;50.70;44.94;132.24;0;0;0;51.00;9.00;0.00;0;0;27.39;0.00;0;0;36.17;11.22;27.39;8.78;0.00;0.00;11.49
21;2.22;60.00;118.02;0.28;40.60;51.30;45.45;148.48;0;0;0;51.00;9.00;0.00;0;0;30.73;0.00;0;0;45.17;12.77;30.73;8.89;0.00;0.00;13.04
22;1.93;70.00;116.66;0.24;41.80;51.70;45.91;155.44;0;0;0;65.10;4.90;0.00;0;0;30.73;0.00;0;0;44.83;10.93;30.73;7.67;0.00;0.00;11.20
23;1.62;60.00;106.01;0.23;42.80;52.30;46.41;161.24;0;1;0;49.20;10.80;0.00;0;0;27.78;0.00;0;0;47.75;11.03;27.78;6.68;-19.97;-4.59;11.30
