Heure;T_ext;Q_base;EURMWH_SPOT;EURKWH_variable;Tst;Tcond;Cond_prod;S_stock;m_pac_ch;m_dis;m_ww;Quse;Qdis;Qch;Qww;Qpin;P_base;P_chrg;P_ww;P_pin;Elec_tot;Conso;Elec_base;Conso_base;NegaWatts;Gain_spot;Cost_hour
0;3.46;50.00;14.63;0.12;33.60;57.00;43.46;107.88;1;0;0;43.50;6.50;0.00;0;0;25.79;27.88;0;0;53.67;6.51;25.79;3.38;0.00;0.00;6.78
1;3.55;60.00;8.36;0.11;47.20;69.80;43.32;186.76;1;0;0;60.00;0.00;0.00;0;0;26.61;39.97;0;0;66.58;7.57;26.61;3.22;0.00;0.00;7.84
2;3.34;60.00;4.88;0.11;55.00;49.80;43.66;232.00;0;0;0;45.00;15.00;0.00;0;0;22.77;0.00;0;0;23.17;2.54;22.77;2.79;0.00;0.00;2.81
3;4.05;40.00;2.90;0.11;45.00;68.50;42.52;174.00;1;0;0;40.00;0.00;0.00;0;0;19.07;43.26;0;0;62.33;6.68;19.07;2.39;0.00;0.00;6.95
4;4.22;50.00;2.41;0.11;57.50;48.00;42.25;246.50;0;1;0;0.00;50.00;0.00;0;0;21.79;0.00;0;0;4.17;0.44;21.79;2.69;17.62;1.94;0.71
5;3.88;50.00;4.22;0.11;40.00;67.60;42.79;145.00;1;0;0;50.00;0.00;0.00;0;0;20.75;39.33;0;0;60.08;6.54;20.75;2.57;0.00;0.00;6.81
6;3.97;50.00;24.86;0.17;56.60;48.50;42.65;241.28;0;1;0;0.00;50.00;0.00;0;0;23.10;0.00;0;0;4.17;0.71;23.10;4.22;18.93;3.22;0.98
7;3.61;60.00;92.26;0.25;40.10;70.90;43.22;145.58;1;0;0;60.00;0.00;0.00;0;0;22.78;36.64;0;0;59.42;14.96;22.78;5.99;0.00;0.00;15.23
8;4.06;50.00;120.26;0.29;53.60;47.10;42.50;223.88;0;0;0;50.00;0.00;0.00;0;0;20.20;0.00;0;0;23.67;6.75;20.20;6.15;0.00;0.00;7.02
9;4.52;50.00;99.72;0.26;53.60;46.20;41.77;223.88;0;0;0;50.00;0.00;0.00;0;0;19.84;0.00;0;0;26.33;6.86;19.84;5.45;0.00;0.00;7.13
10;4.99;40.00;74.72;0.23;53.60;46.20;41.02;223.88;0;0;0;40.00;0.00;0.00;0;0;15.59;0.00;0;0;20.67;4.77;15.59;3.88;0.00;0.00;5.04
11;5.77;50.00;46.00;0.20;45.30;69.60;39.77;175.74;1;0;0;45.00;5.00;0.00;0;0;18.55;33.37;0;0;51.92;10.19;18.55;4.00;0.00;0.00;10.46
12;6.42;40.00;19.69;0.16;56.40;69.60;38.73;240.12;0;1;0;36.80;3.20;0.00;0;0;15.57;0.00;0;0;15.50;2.55;15.57;2.78;0.07;0.01;2.82
13;6.90;40.00;11.40;0.15;56.40;41.50;37.96;240.12;0;0;0;40.00;0.00;0.00;0;0;12.04;0.00;0;0;18.00;2.79;12.04;2.10;0.00;0.00;3.06
14;7.72;30.00;7.54;0.15;49.70;69.50;36.65;201.26;1;0;0;30.00;0.00;0.00;0;0;10.06;57.44;0;0;67.50;10.13;10.06;1.80;0.00;0.00;10.40
15;9.71;30.00;11.48;0.15;64.40;39.30;33.46;286.52;0;1;0;0.00;30.00;0.00;0;0;11.04;0.00;0;0;4.42;0.68;11.04;1.95;6.62;0.99;0.95
16;9.99;30.00;3.64;0.15;63.40;39.30;33.02;280.72;0;1;0;0.00;30.00;0.00;0;0;11.39;0.00;0;0;1.33;0.19;11.39;2.00;10.06;1.51;0.46
17;9.50;30.00;4.78;0.15;46.80;68.10;33.80;184.44;1;0;0;30.00;0.00;0.00;0;0;14.70;51.72;0;0;66.42;9.75;14.70;2.50;0.00;0.00;10.02
18;9.37;40.00;35.33;0.18;65.40;38.00;34.01;292.32;0;1;0;30.00;10.00;0.00;0;0;11.94;0.00;0;0;8.08;1.48;11.94;2.44;3.86;0.69;1.75
19;8.82;30.00;121.93;0.29;64.00;37.60;34.89;284.20;0;1;0;0.00;30.00;0.00;0;0;14.98;0.00;0;0;1.92;0.55;14.98;4.63;13.06;3.79;0.82
20;8.36;40.00;133.71;0.30;63.50;37.60;35.62;281.30;0;1;0;0.00;40.00;0.00;0;0;15.24;0.00;0;0;1.33;0.40;15.24;4.86;13.91;4.17;0.67
21;7.97;40.00;98.93;0.26;62.40;40.80;36.25;274.92;0;0;0;40.00;0.00;0.00;0;0;15.21;0.00;0;0;18.50;4.81;15.21;4.24;0.00;0.00;5.08
22;7.28;40.00;89.16;0.21;62.40;40.80;37.35;274.92;0;0;0;40.00;0.00;0.00;0;0;15.06;0.00;0;0;18.25;3.85;15.06;3.45;0.00;0.00;4.12
23;6.91;40.00;101.85;0.23;62.40;41.50;37.94;274.92;0;0;0;40.00;0.00;0.00;0;0;14.95;0.00;0;0;18.17;4.11;14.95;3.73;0.00;0.00;4.38
