Heure;T_ext;Q_base;EURMWH_SPOT;EURKWH_variable;Tst;Tcond;Cond_prod;S_stock;m_pac_ch;m_dis;m_ww;Quse;Qdis;Qch;Qww;Qpin;P_base;P_chrg;P_ww;P_pin;Elec_tot;Conso;Elec_base;Conso_base;NegaWatts;Gain_spot;Cost_hour
0;3.20;60.00;132.30;0.23;42.20;59.50;43.88;157.76;0;1;0;43.80;16.20;0.00;0;0;29.57;0.00;0;0;57.67;13.24;29.57;7.09;-28.10;-6.46;13.51
1;3.49;60.00;127.39;0.22;44.70;70.90;43.42;172.26;1;0;0;45.00;15.00;0.00;0;0;24.66;29.17;0;0;53.83;12.04;24.66;5.72;0.00;0.00;12.31
2;3.44;50.00;112.95;0.21;47.00;49.30;43.50;185.60;0;0;0;50.00;0.00;0.00;0;0;21.27;0.00;0;0;28.00;5.78;21.27;4.76;0.00;0.00;6.05
3;3.44;50.00;129.43;0.23;44.80;69.80;43.50;172.84;1;0;0;50.00;0.00;0.00;0;0;21.71;40.96;0;0;62.67;14.17;21.71;5.28;0.00;0.00;14.44
4;3.68;60.00;124.32;0.22;53.70;47.50;43.11;224.46;0;0;0;60.00;0.00;0.00;0;0;26.29;0.00;0;0;26.75;5.89;26.29;6.07;0.00;0.00;6.16
5;3.58;60.00;103.86;0.20;53.70;47.50;43.27;224.46;0;0;0;60.00;0.00;0.00;0;0;26.70;0.00;0;0;26.58;5.20;26.70;5.63;0.00;0.00;5.47
6;3.50;60.00;121.24;0.22;48.30;67.70;43.40;193.14;1;0;0;57.00;3.00;0.00;0;0;23.53;42.89;0;0;66.42;14.86;23.53;5.47;0.00;0.00;15.13
7;3.66;50.00;162.52;0.27;59.80;66.20;43.14;259.84;0;1;0;0.00;50.00;0.00;0;0;20.83;0.00;0;0;5.75;1.57;20.83;5.91;15.08;4.07;1.84
8;3.80;50.00;199.98;0.32;58.60;47.10;42.92;252.88;0;1;0;4.00;46.00;0.00;0;0;21.56;0.00;0;0;1.33;0.42;21.56;7.19;20.23;6.47;0.69
9;4.28;60.00;171.53;0.28;46.20;46.60;42.15;180.96;0;1;0;49.20;10.80;0.00;0;0;21.51;0.00;0;0;27.92;7.93;21.51;6.31;-6.41;-1.79;8.20
10;5.00;40.00;141.96;0.25;44.00;45.80;41.00;168.20;0;0;0;40.00;0.00;0.00;0;0;15.95;0.00;0;0;21.08;5.24;15.95;4.28;0.00;0.00;5.51
11;5.69;50.00;131.55;0.24;44.00;43.30;39.90;168.20;0;0;0;50.00;0.00;0.00;0;0;18.44;0.00;0;0;19.17;4.53;18.44;4.72;0.00;0.00;4.80
12;6.97;40.00;118.21;0.22;41.20;67.80;37.85;151.96;1;0;0;40.00;0.00;0.00;0;0;15.51;42.82;0;0;58.33;12.84;15.51;3.70;0.00;0.00;13.11
13;7.51;40.00;101.73;0.20;51.00;41.00;36.98;208.80;0;0;0;40.00;0.00;0.00;0;0;12.11;0.00;0;0;16.50;3.30;12.11;2.71;0.00;0.00;3.57
14;8.26;30.00;94.34;0.19;51.00;39.40;35.78;208.80;0;0;0;30.00;0.00;0.00;0;0;11.69;0.00;0;0;16.08;3.08;11.69;2.51;0.00;0.00;3.35
15;8.34;40.00;98.42;0.20;50.30;71.10;35.66;204.74;1;0;0;34.80;5.20;0.00;0;0;14.74;46.43;0;0;61.17;12.01;14.74;3.24;0.00;0.00;12.28
16;8.68;30.00;106.68;0.21;56.40;38.90;35.11;240.12;0;0;0;30.00;0.00;0.00;0;0;11.43;0.00;0;0;11.25;2.32;11.43;2.69;0.00;0.00;2.59
17;8.36;40.00;130.10;0.23;58.20;38.90;35.62;250.56;0;1;0;0.00;40.00;0.00;0;0;14.62;0.00;0;0;2.00;0.47;14.62;3.65;12.62;2.90;0.74
18;8.11;40.00;143.79;0.25;57.40;38.90;36.02;245.92;0;1;0;0.00;40.00;0.00;0;0;17.58;0.00;0;0;1.33;0.33;17.58;4.69;16.25;4.06;0.60
19;6.75;40.00;173.73;0.29;56.20;42.30;38.20;238.96;0;0;0;40.00;0.00;0.00;0;0;18.26;0.00;0;0;19.67;5.64;18.26;5.59;0.00;0.00;5.91
20;5.47;50.00;168.30;0.28;56.20;45.10;40.25;238.96;0;0;0;50.00;0.00;0.00;0;0;22.33;0.00;0;0;23.83;6.68;22.33;6.54;0.00;0.00;6.95
21;4.78;50.00;165.10;0.28;56.20;45.50;41.35;238.96;0;0;0;50.00;0.00;0.00;0;0;20.55;0.00;0;0;25.58;7.07;20.55;6.04;0.00;0.00;7.34
22;4.59;50.00;146.45;0.25;56.20;46.00;41.66;238.96;0;0;0;50.00;0.00;0.00;0;0;20.65;0.00;0;0;25.92;6.39;20.65;5.45;0.00;0.00;6.66
23;4.35;50.00;126.90;0.22;56.20;46.30;42.04;238.96;0;0;0;49.00;1.00;0.00;0;0;20.85;0.00;0;0;25.00;5.58;20.85;4.88;0.00;0.00;5.85
