Heure;T_ext;Q_base;EURMWH_SPOT;EURKWH_variable;Tst;Tcond;Cond_prod;S_stock;m_pac_ch;m_dis;m_ww;Quse;Qdis;Qch;Qww;Qpin;P_base;P_chrg;P_ww;P_pin;Elec_tot;Conso;Elec_base;Conso_base;NegaWatts;Gain_spot;Cost_hour
0;3.38;70.00;79.70;0.20;40.00;60.70;43.59;145.00;1;0;0;59.50;10.50;0.00;0;0;30.10;21.07;0;0;51.17;10.20;30.10;6.31;0.00;0.00;10.47
1;3.11;60.00;74.28;0.19;40.50;49.90;44.02;147.90;0;0;0;52.80;7.20;0.00;0;0;22.84;0.00;0;0;42.83;8.26;22.84;4.63;0.00;0.00;8.53
2;2.90;0.00;68.88;0.19;38.80;61.70;44.36;138.04;0;0;0;0.00;0.00;0.00;0;0;8.93;0.00;0;0;0.00;0.00;8.93;1.99;0.00;0.00;0.27
3;2.73;60.00;72.58;0.19;40.00;61.90;44.63;145.00;1;0;0;60.00;0.00;0.00;0;0;29.22;32.11;0;0;61.33;11.70;29.22;5.84;0.00;0.00;11.97
4;2.60;60.00;67.62;0.18;47.70;71.00;44.84;189.66;1;0;0;60.00;0.00;0.00;0;0;28.09;38.83;0;0;66.92;12.37;28.09;5.35;0.00;0.00;12.64
5;2.16;70.00;71.00;0.19;54.80;51.50;45.54;230.84;0;0;0;61.60;8.40;0.00;0;0;33.57;0.00;0;0;32.92;6.22;33.57;6.67;0.00;0.00;6.49
6;1.51;70.00;80.82;0.24;47.30;70.90;46.58;187.34;1;0;0;70.00;0.00;0.00;0;0;32.19;33.56;0;0;65.75;15.65;32.19;8.02;0.00;0.00;15.92
7;1.11;60.00;91.57;0.25;56.20;53.00;47.22;238.96;0;0;0;57.00;3.00;0.00;0;0;25.36;0.00;0;0;37.42;9.39;25.36;6.63;0.00;0.00;9.66
8;2.02;50.00;98.84;0.26;56.70;52.50;45.77;241.86;0;1;0;0.00;50.00;0.00;0;0;20.61;0.00;0;0;3.58;0.93;20.61;5.65;17.03;4.43;1.20
9;3.23;50.00;104.19;0.27;50.30;52.50;43.83;204.74;0;1;0;24.00;26.00;0.00;0;0;20.50;0.00;0;0;26.42;7.03;20.50;5.83;-5.92;-1.60;7.30
10;3.82;40.00;93.66;0.25;42.40;47.50;42.89;158.92;0;0;0;33.20;6.80;0.00;0;0;18.71;0.00;0;0;23.17;5.87;18.71;4.97;0.00;0.00;6.14
11;4.32;60.00;78.00;0.23;41.90;47.00;42.09;156.02;0;0;0;60.00;0.00;0.00;0;0;19.85;0.00;0;0;29.83;7.00;19.85;4.86;0.00;0.00;7.27
12;5.13;40.00;70.95;0.23;39.80;55.30;40.79;143.84;1;0;0;40.00;0.00;0.00;0;0;17.84;42.74;0;0;60.58;13.70;17.84;4.39;0.00;0.00;13.97
13;6.10;50.00;63.71;0.22;51.20;68.90;39.24;209.96;1;0;0;50.00;0.00;0.00;0;0;15.26;56.16;0;0;71.42;15.53;15.26;3.65;0.00;0.00;15.80
14;6.91;30.00;54.18;0.21;60.30;41.60;37.94;262.74;0;0;0;30.00;0.00;0.00;0;0;11.44;0.00;0;0;12.25;2.52;11.44;2.69;0.00;0.00;2.79
15;7.22;30.00;55.25;0.21;60.30;41.00;37.45;262.74;0;0;0;30.00;0.00;0.00;0;0;15.34;0.00;0;0;16.50;3.42;15.34;3.51;0.00;0.00;3.69
16;6.95;40.00;57.54;0.21;60.90;40.20;37.88;266.22;0;1;0;0.00;40.00;0.00;0;0;15.47;0.00;0;0;2.00;0.42;15.47;3.54;13.47;2.83;0.69
17;6.63;40.00;66.52;0.22;60.30;40.20;38.39;262.74;0;1;0;0.00;40.00;0.00;0;0;15.24;0.00;0;0;1.33;0.29;15.24;3.64;13.91;3.06;0.56
18;5.84;40.00;74.32;0.23;58.80;43.10;39.66;254.04;0;0;0;40.00;0.00;0.00;0;0;18.96;0.00;0;0;22.92;5.28;18.96;4.65;0.00;0.00;5.55
19;5.32;50.00;86.26;0.24;58.80;45.50;40.49;254.04;0;0;0;50.00;0.00;0.00;0;0;22.96;0.00;0;0;25.33;6.19;22.96;5.80;0.00;0.00;6.46
20;4.34;60.00;77.80;0.23;58.80;46.30;42.06;254.04;0;0;0;60.00;0.00;0.00;0;0;23.79;0.00;0;0;28.75;6.74;23.79;5.76;0.00;0.00;7.01
21;4.09;50.00;64.39;0.22;58.80;46.80;42.46;254.04;0;0;0;50.00;0.00;0.00;0;0;22.70;0.00;0;0;27.00;5.89;22.70;5.28;0.00;0.00;6.16
22;3.77;60.00;51.52;0.17;58.80;47.30;42.97;254.04;0;0;0;60.00;0.00;0.00;0;0;24.35;0.00;0;0;27.75;4.59;24.35;4.43;0.00;0.00;4.86
23;3.55;50.00;46.75;0.16;58.80;47.50;43.32;254.04;0;0;0;50.00;0.00;0.00;0;0;21.30;0.00;0;0;27.67;4.42;21.30;3.70;0.00;0.00;4.69
