Heure;T_ext;Q_base;EURMWH_SPOT;EURKWH_variable;Tst;Tcond;Cond_prod;S_stock;m_pac_ch;m_dis;m_ww;Quse;Qdis;Qch;Qww;Qpin;P_base;P_chrg;P_ww;P_pin;Elec_tot;Conso;Elec_base;Conso_base;NegaWatts;Gain_spot;Cost_hour
0;6.21;50.00;93.38;0.22;31.70;59.40;39.06;96.86;1;0;0;50.00;0.00;0.00;0;0;22.50;39.50;0;0;62.00;13.38;22.50;5.24;0.00;0.00;13.65
1;5.60;50.00;93.29;0.22;56.40;44.30;40.04;240.12;0;1;0;0.00;50.00;0.00;0;0;23.45;0.00;0;0;3.83;0.83;23.45;5.45;19.62;4.32;1.10
2;4.96;60.00;86.75;0.21;38.30;61.90;41.06;135.14;1;0;0;60.00;0.00;0.00;0;0;29.55;30.78;0;0;60.33;12.54;29.55;6.50;0.00;0.00;12.81
3;2.98;70.00;71.24;0.19;54.80;50.40;44.23;230.84;0;0;0;70.00;0.00;0.00;0;0;30.46;0.00;0;0;34.67;6.56;30.46;6.08;0.00;0.00;6.83
4;2.70;50.00;71.18;0.19;54.50;70.90;44.68;229.10;1;0;0;43.50;6.50;0.00;0;0;26.35;39.07;0;0;65.42;12.37;26.35;5.30;0.00;0.00;12.64
5;2.85;70.00;89.10;0.21;57.80;50.20;44.44;248.24;0;0;0;70.00;0.00;0.00;0;0;27.21;0.00;0;0;30.75;6.48;27.21;6.00;0.00;0.00;6.75
6;2.80;50.00;139.43;0.31;58.80;50.20;44.52;254.04;0;1;0;0.00;50.00;0.00;0;0;25.11;0.00;0;0;2.75;0.85;25.11;8.07;22.36;6.93;1.12
7;2.53;60.00;152.90;0.32;41.70;56.60;44.95;154.86;1;0;0;60.00;0.00;0.00;0;0;25.67;33.08;0;0;58.75;19.07;25.67;8.50;0.00;0.00;19.34
8;2.56;50.00;165.52;0.34;54.50;50.70;44.90;229.10;0;1;0;0.00;50.00;0.00;0;0;22.44;0.00;0;0;3.83;1.30;22.44;7.92;18.61;6.33;1.57
9;3.45;60.00;139.87;0.31;47.10;50.70;43.48;186.18;0;1;0;43.20;16.80;0.00;0;0;23.77;0.00;0;0;23.25;7.18;23.77;7.66;0.52;0.16;7.45
10;3.84;50.00;109.72;0.27;40.50;48.80;42.86;147.90;1;0;0;43.50;6.50;0.00;0;0;19.00;27.67;0;0;46.67;12.73;19.00;5.42;0.00;0.00;13.00
11;5.05;50.00;85.80;0.24;44.10;46.50;40.92;168.78;0;0;0;50.00;0.00;0.00;0;0;19.40;0.00;0;0;20.08;4.90;19.40;4.95;0.00;0.00;5.17
12;5.68;40.00;79.70;0.24;46.10;45.10;39.91;180.38;0;1;0;24.00;16.00;0.00;0;0;15.67;0.00;0;0;14.58;3.45;15.67;4.05;1.09;0.26;3.72
13;6.40;40.00;57.13;0.21;38.10;69.10;38.76;133.98;1;0;0;40.00;0.00;0.00;0;0;15.56;42.44;0;0;58.00;12.16;15.56;3.56;0.00;0.00;12.43
14;7.21;50.00;54.76;0.21;50.30;41.30;37.46;204.74;0;0;0;50.00;0.00;0.00;0;0;15.32;0.00;0;0;16.50;3.41;15.32;3.51;0.00;0.00;3.68
15;6.94;40.00;63.05;0.22;50.30;42.30;37.90;204.74;0;0;0;40.00;0.00;0.00;0;0;18.50;0.00;0;0;18.50;4.01;18.50;4.36;0.00;0.00;4.28
16;5.60;50.00;73.75;0.23;50.30;43.60;40.04;204.74;0;0;0;50.00;0.00;0.00;0;0;19.59;0.00;0;0;23.33;5.36;19.59;4.80;0.00;0.00;5.63
17;6.08;40.00;91.11;0.25;51.80;42.90;39.27;213.44;0;1;0;0.00;40.00;0.00;0;0;20.59;0.00;0;0;2.08;0.52;20.59;5.44;18.51;4.63;0.79
18;5.15;60.00;144.82;0.31;49.70;45.40;40.76;201.26;0;0;0;60.00;0.00;0.00;0;0;23.68;0.00;0;0;27.33;8.60;23.68;7.63;0.00;0.00;8.87
19;4.59;50.00;171.10;0.35;49.70;46.20;41.66;201.26;0;0;0;50.00;0.00;0.00;0;0;23.09;0.00;0;0;25.33;8.77;23.09;8.37;0.00;0.00;9.04
20;4.01;60.00;170.00;0.35;49.70;46.80;42.58;201.26;0;0;0;60.00;0.00;0.00;0;0;26.61;0.00;0;0;31.00;10.70;26.61;9.60;0.00;0.00;10.97
21;3.64;60.00;119.47;0.28;49.70;47.50;43.18;201.26;0;0;0;60.00;0.00;0.00;0;0;25.52;0.00;0;0;28.33;8.06;25.52;7.44;0.00;0.00;8.33
22;3.41;60.00;152.20;0.29;49.70;49.30;43.54;201.26;0;0;0;60.00;0.00;0.00;0;0;25.72;0.00;0;0;36.25;10.38;25.72;7.75;0.00;0.00;10.65
23;3.28;60.00;135.00;0.27;34.50;49.40;43.75;113.10;1;0;0;46.80;13.20;0.00;0;0;25.83;15.92;0;0;41.75;11.09;25.83;7.26;0.00;0.00;11.36
